mask,slit_no,obj,c2020_id,ypix_mospy,mospy_notes,pypeit_notes,wp,mia,keep,confidence,cquality,zguess,zmeasured,wave,ypix_slit,photoz,photoz_source,MUV,serendip_ra,serendip_dec,pypeit_ref_idx,pypeit_slit,                    pypeit_name , maskdef_id ,     objra ,  objdec , spat_pixpos , spat_fracpos , box_width , opt_fwhm ,   s2n , maskdef_extract 
wmmc03,1,CAND_B49961,,2330,l@10266?onsky,,1,,,1,1,7.44,7.448,10266,66,,ccand,,,,,1568,SPAT1575-SLIT1568-DET01,1,150.05571,2.39816,1575,0.627,1,0.35,0.2,TRUE
wmmc03,2,CAND_B50340,,,"nl,nc",,1,,0,0,-1,,,,,,ccand,,,,,1518,SPAT1518-SLIT1518-DET01,2,150.06258,2.39994,1518,0.483,1,0.35,0.1,TRUE
wmmc03,3,CAND_M50173,,2167,l@10631,,1,,,2,1,7.74,7.748,10631,62,,ccand,,,,,1468,SPAT1478-SLIT1468-DET01,3,150.06508,2.39903,1478,0.686,1,0.35,0,TRUE
wmmc03,4,CAND_B47002,,,l@10870??,,1,,,0,1,7.94,,10870,38,,ccand,,,,,1408,SPAT1405-SLIT1408-DET01,4,150.05821,2.38336,1405,0.451,1,0.35,0.02,TRUE
wmmc03,6,CAND_M47077,,,"nl,nc",,1,,0,0,-1,,,,,,ccand,,,,,1307,SPAT1310-SLIT1307-DET01,6,150.06696,2.38379,1310,0.558,1,0.35,0,TRUE
wmmc03,7,M_WP372229,372229,,l@11071?onsky,,1,,,0,-1,8.11,,11071,,,c2020,,,,,1256,SPAT1257-SLIT1256-DET01,7,150.09813,2.41286,1257,0.517,1,0.35,0.01,TRUE
wmmc03,8,CAND_M44480,,1783,l@11100,,1,,,2,-1,8.13,8.128,11100,65,,ccand,,,,,1206,SPAT1208-SLIT1206-DET01,8,150.0635,2.36997,1208,0.538,1,0.35,0,TRUE
wmmc03,10,CAND_M43334,,,"nl,nc",,1,,0,0,-1,,,,,,ccand,,,,,1106,SPAT1104-SLIT1106-DET01,10,150.06737,2.36382,1104,0.471,1,0.35,0.07,TRUE
wmmc03,11,CAND_M47287,,,"nl,nc",,1,,0,0,-1,,,,,,ccand,,,,,1045,SPAT1041-SLIT1045-DET01,11,150.09325,2.38494,1040.7,0.404,3,0.553,11.89,FALSE
wmmc03,12,CAND_L41657,,,l@10786?9845??,,1,,,1,0,7.09,,9845,24,,ccand,,,,,996,SPAT0997-SLIT0996-DET01,12,150.07058,2.3563,997,0.552,1,0.35,0,TRUE
wmmc03,13,CAND_L49308,,,"nl,nc",,1,,0,0,-1,,,,,,ccand,,,,,956,SPAT0956-SLIT0956-DET01,13,150.10904,2.39493,956,0.483,1,0.35,0.08,TRUE
wmmc03,15,CAND_L39354,,1269,fc,,1,,0,0,-1,,,,,,ccand,,,,,878,SPAT0878-SLIT0878-DET01,15,150.07204,2.34778,878,0.517,1,0.35,0.04,TRUE
wmmc03,17,CAND_L40113,,1126,l@10314?l@11047?,,1,,,1,0,8.08,,11047,40,,ccand,,,,,790,SPAT0783-SLIT0790-DET01,17,150.08317,2.35074,783,0.373,1,0.35,-0.09,TRUE
wmmc03,18,CAND_M46246,,1064,l@11000?,,1,,,1,0.5,8.04,,10999,23,,ccand,,,,,740,SPAT0741-SLIT0740-DET01,18,150.11258,2.37922,741,0.536,1,0.35,0.2,TRUE
wmmc03,19,CAND_M45034,,1006,l@10251?,,1,,,1,-1,7.43,,10251,70,,ccand,,,,,690,SPAT0698-SLIT0690-DET01,19,150.11013,2.37262,698,0.654,1,0.35,0.05,TRUE
wmmc03,23,CAND_M34981,,,"nl,nc",,1,,0,0,-1,,,,,,ccand,,,,,510,SPAT0507-SLIT0510-DET01,23,150.08729,2.32944,507,0.442,1,0.35,-0.28,TRUE
wmmc03,25,CAND_L38907,,596,fc,,1,,0,0,-1,,,,,,ccand,,,,,422,SPAT0423-SLIT0422-DET01,25,150.10929,2.34592,423,0.552,1,0.35,0.27,TRUE
wmmc03,26,CAND_L35923,,,"nl,nc",,1,,0,0,-1,,,,,,ccand,,,,,382,SPAT0382-SLIT0382-DET01,26,150.10083,2.33324,382,0.483,1,0.35,-0.05,TRUE
wmmc03,27,M_WP868537,868537,,l@10200??serendip?,,1,,,0,0.5,7.39,,10200,30,,c2020,,,,,344,SPAT0345-SLIT0344-DET01,27,150.12729,2.35913,345,0.536,1,0.35,0.04,TRUE
wmmc03,29,L_WP503789,503789,,"nl,nc",,1,,0,0,-1,,,,,,c2020,,,,,265,SPAT0265-SLIT0265-DET01,29,150.10292,2.32566,265,0.5,1,0.35,0.03,TRUE
wmmc03,31,CAND_L39049,,,"nl,nc",,1,,0,0,-1,,,,,,ccand,,,,,174,SPAT0170-SLIT0174-DET01,31,150.13025,2.34675,170,0.412,1,0.35,0.01,TRUE
wmmc03,32,CAND_L33740,,,"nl,nc",,1,,0,0,-1,,,,,,ccand,,,,,124,SPAT0126-SLIT0124-DET01,32,150.11321,2.32405,126,0.567,1,0.35,0.07,TRUE
wmmc03,33,CAND_L41116,,,nl.nc,,1,,0,0,-1,,,,,,ccand,,,,,74,SPAT0069-SLIT0074-DET01,33,150.14625,2.35439,69,0.412,1,0.35,0.44,TRUE
wmmc03,34,CAND_L33076,,,"nl,nc",,1,,0,0,-1,,,,,,ccand,,,,,24,SPAT0024-SLIT0024-DET01,34,150.11983,2.32143,24,0.5,1,0.35,-2.55,TRUE
wmmc05,1,CAND_B58736,,,"nl,nc",,1,,0,0,-1,,,,,,ccand,,,,,1500,SPAT1507-SLIT1500-DET01,1,150.13708,2.44008,1507,0.633,1,0.5,0.07,TRUE
wmmc05,2,M_WP549961,549961,,"nl,nc",,1,,0,0,-1,,,,,,c2020,,,,,1442,SPAT1444-SLIT1442-DET01,2,150.14004,2.43609,1444,0.551,1,0.5,0.07,TRUE
wmmc05,6,rb_15_397860,397860,1845,l@10751?onsky,,1,,0,0,-1,,,10751,,,c2020,,,,,1258,SPAT1260-SLIT1258-DET01,6,150.18296,2.43919,1260,0.556,1,0.5,0.31,TRUE
